state,zipcode,city,agegroup,gender,employment,occupation,template,spanish,extra_qualifs,internshipflag,customerservice,cpr,techskills,wpm,grammar,college,employeemonth,volunteer,skill,callback,adtitle,type
Michigan,2,birmingham,2,1,1,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,office help lead generation,MH
Michigan,3,birmingham,3,1,1,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,office help lead generation,OH
Florida,2,sarasota,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist front desk,OL
Florida,3,sarasota,1,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist front desk,Y
Florida,1,sarasota,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist front desk,OBE
Florida,2,sarasota,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0, administrative assistant federal position,OL
Florida,3,sarasota,1,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0, administrative assistant federal position,Y
Florida,1,sarasota,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0, administrative assistant federal position,OBE
Florida,2,sarasota,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0, part time receptionist needed for oceanway office,OL
Florida,3,sarasota,1,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0, part time receptionist needed for oceanway office,Y
Florida,1,sarasota,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0, part time receptionist needed for oceanway office,OBE
Michigan,2,birmingham,3,1,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,career sales position available big motorsports,OL
Michigan,1,birmingham,3,1,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,1,career sales position available big motorsports,OBL
Michigan,3,birmingham,1,1,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,1,career sales position available big motorsports,Y
Texas,3,houston,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,OBE
Texas,2,houston,2,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,ML
Texas,1,houston,1,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,Y
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant part time,Y
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant part time,MB
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant part time,OBE
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,hiring a receptionist,OBE
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,hiring a receptionist,Y
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,hiring a receptionist,MB
Michigan,2,birmingham,2,0,1,sales, C,0,1,0,1,0,0,0,1,1,1,0,1,1,sales associates and team leaders wanted now,MH
Michigan,3,birmingham,2,1,0,sales, C,1,1,0,0,0,0,0,1,1,1,0,1,0,sales associates and team leaders wanted now,MB
Michigan,2,birmingham,2,1,0,sales, A,1,1,0,1,0,0,0,1,0,1,0,1,1,sales associates and team leaders wanted now,MH
Michigan,1,birmingham,1,1,0,sales, B,1,1,0,0,0,0,0,1,0,1,1,1,0,sales associates and team leaders wanted now,Y
Michigan,3,birmingham,2,0,1,sales, A,1,1,0,1,0,0,0,0,0,1,1,1,0,sales associates and team leaders wanted now,MB
Michigan,1,birmingham,1,0,1,sales, B,1,1,0,0,0,0,0,0,1,1,1,1,0,sales associates and team leaders wanted now,Y
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,1,full time receptionist office assistant,MB
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,full time receptionist office assistant,Y
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,full time receptionist office assistant,OBE
Michigan,1,birmingham,2,1,0,admin, A,1,1,0,0,0,0,1,0,0,1,1,1,0,office administrative,MH
Michigan,3,birmingham,2,1,0,admin, B,0,1,0,0,0,0,1,1,0,1,1,1,0,office administrative,ML
Michigan,2,birmingham,1,1,0,admin, C,1,1,0,0,0,0,1,1,0,0,1,1,0,office administrative,Y
Michigan,1,birmingham,2,1,0,admin, A,1,1,0,0,0,0,1,0,0,1,1,1,0, front desk receptionist,MH
Michigan,2,birmingham,1,1,0,admin, C,1,1,0,0,0,0,1,1,0,0,1,1,0, front desk receptionist,Y
Michigan,3,birmingham,2,1,0,admin, B,0,1,0,0,0,0,1,1,0,1,1,1,0, front desk receptionist,ML
New York,3,new york,1,0,0,security, B,0,0,0,0,0,0,0,0,0,0,0,0,0,public safety officer,Y
New York,1,new york,2,0,0,security, A,0,0,0,0,0,0,0,0,0,0,0,0,0,public safety officer,ML
New York,2,new york,2,0,0,security, C,0,0,0,0,0,0,0,0,0,0,0,0,0,public safety officer,MH
Florida,2,sarasota,2,0,1,sales, B,0,0,0,1,0,0,0,1,1,1,1,1,0,c store clerk needed,ML
Florida,3,sarasota,1,0,1,sales, C,1,1,0,1,0,0,0,0,1,1,0,1,1,c store clerk needed,Y
Florida,1,sarasota,2,0,1,sales, A,1,1,0,0,0,0,0,0,1,1,1,1,0,c store clerk needed,MB
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist professional upscale office,Y
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist professional upscale office,MB
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist professional upscale office,OBE
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant,OBE
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant,MB
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant,Y
California,2,los angeles,2,1,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,gas station cashier,ML
California,1,los angeles,1,1,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,gas station cashier,Y
California,3,los angeles,2,1,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,gas station cashier,MB
Texas,3,houston,1,1,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,1,sales associate,Y
Texas,1,houston,3,1,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,1,sales associate,OH
Texas,2,houston,2,1,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,1,sales associate,MB
North Carolina,1,charlotte,2,1,0,admin, A,1,1,0,0,0,0,1,0,1,0,1,1,0,sales office receptionist,MB
North Carolina,2,charlotte,1,1,0,admin, B,1,0,0,0,0,0,1,1,0,1,1,1,0,sales office receptionist,Y
North Carolina,3,charlotte,2,1,0,admin, C,0,1,0,0,0,0,1,1,1,1,0,1,0,sales office receptionist,ML
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,executive assistant mc,MB
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,executive assistant mc,OBE
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,executive assistant mc,Y
Florida,3,sarasota,1,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,}{}{}{}front office coordinator <,Y
Florida,2,sarasota,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,1,}{}{}{}front office coordinator <,OL
Florida,1,sarasota,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,1,}{}{}{}front office coordinator <,OBE
Texas,2,houston,2,1,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,hiring retail associates for immediate start,MB
Texas,3,houston,1,1,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,hiring retail associates for immediate start,Y
Texas,1,houston,3,1,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,hiring retail associates for immediate start,OH
Florida,3,sarasota,1,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,1, (,Y
Florida,2,sarasota,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,1, (,OL
Florida,1,sarasota,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,1, (,OBE
New York,3,new york,1,1,1,sales, B,1,0,0,1,0,0,0,1,0,1,1,1,0,yumi kim store associates upper east side,Y
New York,2,new york,3,1,1,sales, A,1,0,0,1,0,0,0,0,1,1,1,1,0,yumi kim store associates upper east side,OBL
New York,1,new york,3,1,1,sales, C,0,1,0,1,0,0,0,1,0,1,1,1,0,yumi kim store associates upper east side,OBE
Massachusetts,3,boston,3,0,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,polka dog bakery is hiring,OBE
Massachusetts,2,boston,1,0,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,1,polka dog bakery is hiring,Y
Massachusetts,1,boston,2,0,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,0,polka dog bakery is hiring,MH
North Carolina,3,charlotte,2,1,0,admin, C,0,1,0,0,0,0,1,1,1,1,0,1,0,administrative assistant,ML
North Carolina,1,charlotte,2,1,0,admin, A,1,1,0,0,0,0,1,0,1,0,1,1,0,administrative assistant,MB
North Carolina,2,charlotte,1,1,0,admin, B,1,0,0,0,0,0,1,1,0,1,1,1,1,administrative assistant,Y
Arizona,2,phoenix,2,0,0,security, C,0,1,0,0,1,0,0,1,1,0,1,1,0,immediate hiring experienced retail loss prevention agents,ML
Arizona,3,phoenix,1,0,0,security, A,1,1,0,0,1,0,0,0,0,1,1,1,0,immediate hiring experienced retail loss prevention agents,Y
Arizona,1,phoenix,2,0,0,security, B,1,1,0,0,1,0,0,0,1,0,1,1,0,immediate hiring experienced retail loss prevention agents,MB
Arizona,3,phoenix,2,1,1,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,office administrative assistant,MH
Arizona,1,phoenix,3,1,1,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,office administrative assistant,OBL
Arizona,2,phoenix,1,1,1,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,office administrative assistant,Y
Utah,2,salt lake city,2,1,1,admin, A,1,0,0,0,0,0,1,1,1,1,0,1,0, medical receptionist part time,MB
Utah,3,salt lake city,3,1,1,admin, B,1,0,0,0,0,0,1,1,1,1,0,1,1, medical receptionist part time,OBE
Utah,1,salt lake city,1,1,1,admin, C,0,1,0,0,0,0,1,1,1,1,0,1,0, medical receptionist part time,Y
Massachusetts,2,boston,1,0,0,sales, A,0,0,0,0,0,0,0,0,0,0,0,0,0,part time delightful & happy sales associate for women's boutique,Y
Massachusetts,1,boston,2,0,0,sales, B,0,0,0,0,0,0,0,0,0,0,0,0,1,part time delightful & happy sales associate for women's boutique,MH
Massachusetts,3,boston,3,0,0,sales, C,0,0,0,0,0,0,0,0,0,0,0,0,0,part time delightful & happy sales associate for women's boutique,OBE
New York,2,new york,3,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant,OBE
New York,3,new york,1,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant,Y
New York,1,new york,2,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,administrative assistant,MB
Florida,3,sarasota,1,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,Y
Florida,1,sarasota,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,OBE
Florida,2,sarasota,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,0,receptionist,OL
Florida,2,sarasota,3,1,0,admin, A,0,0,0,0,0,0,0,0,0,0,0,0,1,admin assistant,OL
Florida,1,sarasota,3,1,0,admin, C,0,0,0,0,0,0,0,0,0,0,0,0,1,admin assistant,OBE
Florida,3,sarasota,1,1,0,admin, B,0,0,0,0,0,0,0,0,0,0,0,0,1,admin assistant,Y
Utah,2,salt lake city,2,1,1,admin, A,1,0,0,0,0,0,1,1,1,1,0,1,1, receptionist wanted,MB
Utah,1,salt lake city,1,1,1,admin, C,0,1,0,0,0,0,1,1,1,1,0,1,1, receptionist wanted,Y
Utah,3,salt lake city,3,1,1,admin, B,1,0,0,0,0,0,1,1,1,1,0,1,0, receptionist wanted,OBE
Utah,2,salt lake city,2,1,1,admin, A,1,0,0,0,0,0,1,1,1,1,0,1,1, front desk assistant,MB
Utah,3,salt lake city,3,1,1,admin, B,1,0,0,0,0,0,1,1,1,1,0,1,1, front desk assistant,OBE
Utah,1,salt lake city,1,1,1,admin, C,0,1,0,0,0,0,1,1,1,1,0,1,1, front desk assistant,Y
Utah,1,salt lake city,1,1,1,admin, C,0,1,0,0,0,0,1,1,1,1,0,1,0, part time front office support,Y
Utah,2,salt lake city,2,1,1,admin, A,1,0,0,0,0,0,1,1,1,1,0,1,1, part time front office support,MB
Utah,3,salt lake city,3,1,1,admin, B,1,0,0,0,0,0,1,1,1,1,0,1,1, part time front office support,OBE
Illinois,1,chicago,2,0,1,security, A,1,1,0,0,1,0,0,1,0,0,1,1,0,security guard mt prospect union position ft & pt open,MH
Illinois,2,chicago,1,0,1,security, C,1,0,0,0,1,0,0,0,1,1,1,1,1,security guard mt prospect union position ft & pt open,Y
Illinois,3,chicago,3,0,1,security, B,1,0,0,0,0,0,0,1,1,1,1,1,0,security guard mt prospect union position ft & pt open,OL
Utah,2,salt lake city,1,0,1,security, A,0,0,0,0,0,0,0,0,0,0,0,0,1, security officer,Y
Utah,1,salt lake city,2,0,1,security, B,0,0,0,0,0,0,0,0,0,0,0,0,1, security officer,ML
